model,confidence,entry_c,entry_penetration_c,entry_end_minute,target_c,target_penetration_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_avg_win_c,discovery_avg_loss_c,discovery_median_fill_minute,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_avg_win_c,validation_avg_loss_c,validation_median_fill_minute
p_market_blend,0.125,20,0,8,90,0,53,5.764150943396227,1.3390677025527191,0.3584905660377358,63.5,-26.5,8.0,18,-1.5,0.9216255442670537,0.2777777777777778,63.5,-26.5,8.0
p_market_blend,0.125,20,0,8,90,1,53,5.764150943396227,1.3390677025527191,0.3584905660377358,63.5,-26.5,8.0,18,-1.5,0.9216255442670537,0.2777777777777778,63.5,-26.5,8.0
p_market_blend,0.125,20,0,8,90,2,53,5.764150943396227,1.3390677025527191,0.3584905660377358,63.5,-26.5,8.0,18,-1.5,0.9216255442670537,0.2777777777777778,63.5,-26.5,8.0
p_btc_signal,0.1,20,1,8,85,0,69,5.528985507246377,1.3347959631417288,0.37681159420289856,58.5,-26.5,8.0,30,-3.8333333333333335,0.8027444253859348,0.26666666666666666,58.5,-26.5,8.0
p_btc_signal,0.1,20,1,8,85,1,69,5.528985507246377,1.3347959631417288,0.37681159420289856,58.5,-26.5,8.0,30,-3.8333333333333335,0.8027444253859348,0.26666666666666666,58.5,-26.5,8.0
p_btc_signal,0.1,20,1,8,85,2,69,5.528985507246377,1.3347959631417288,0.37681159420289856,58.5,-26.5,8.0,30,-3.8333333333333335,0.8027444253859348,0.26666666666666666,58.5,-26.5,8.0
p_kalshi_signal,0.30000000000000004,20,1,12,90,0,56,5.642857142857143,1.3312368972746331,0.35714285714285715,63.5,-26.5,10.0,33,-10.136363636363637,0.5324947589098532,0.18181818181818182,63.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,1,12,90,1,56,5.642857142857143,1.3312368972746331,0.35714285714285715,63.5,-26.5,10.0,33,-10.136363636363637,0.5324947589098532,0.18181818181818182,63.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,1,12,90,2,56,5.642857142857143,1.3312368972746331,0.35714285714285715,63.5,-26.5,10.0,33,-12.863636363636363,0.4278975741239892,0.15151515151515152,63.5,-26.5,11.0
p_btc_signal,0.25,20,1,12,85,0,96,5.375,1.3245283018867924,0.375,58.5,-26.5,10.0,79,-2.829113924050633,0.8520357497517378,0.27848101265822783,58.5,-26.5,11.0
p_btc_signal,0.25,20,1,12,85,1,96,5.375,1.3245283018867924,0.375,58.5,-26.5,10.0,79,-2.829113924050633,0.8520357497517378,0.27848101265822783,58.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,1,12,85,0,56,5.375,1.3245283018867924,0.375,58.5,-26.5,10.0,33,-11.045454545454545,0.49056603773584906,0.18181818181818182,58.5,-26.5,11.0
p_kalshi_signal,0.30000000000000004,20,1,12,85,1,56,5.375,1.3245283018867924,0.375,58.5,-26.5,10.0,33,-11.045454545454545,0.49056603773584906,0.18181818181818182,58.5,-26.5,11.0
p_btc_signal,0.25,20,1,12,90,0,96,5.375,1.3140596469872186,0.3541666666666667,63.5,-26.5,10.0,79,-1.4367088607594938,0.9248593181065872,0.27848101265822783,63.5,-26.5,11.0
p_btc_signal,0.25,20,1,12,90,1,96,5.375,1.3140596469872186,0.3541666666666667,63.5,-26.5,10.0,79,-1.4367088607594938,0.9248593181065872,0.27848101265822783,63.5,-26.5,11.0
p_btc_signal,0.25,20,1,12,90,2,96,5.375,1.3140596469872186,0.3541666666666667,63.5,-26.5,10.0,79,-2.5759493670886076,0.8675992192582954,0.26582278481012656,63.5,-26.5,11.0
p_btc_signal,0.125,20,0,8,90,0,65,5.346153846153846,1.3122192273135669,0.35384615384615387,63.5,-26.5,8.0,30,0.5,1.0269541778975741,0.3,63.5,-26.5,8.0
