rule,side,target_c,trades,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,touch_ema_after_entry,avg_entry_minute,avg_signal_ext_bps,avg_entry_ext_bps,avg_further_ext_bps,yes_share,table
ext40bps_further0bps_entry20c,YES,80,52,0.019230769230769232,0.25,-18.46153846153846,-20.0,"-13.85,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,85,52,0.019230769230769232,0.23529411764705882,-18.365384615384617,-20.0,"-13.46,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry20c,YES,99,52,0.019230769230769232,0.20202020202020202,-18.096153846153847,-20.0,"-12.38,-20.00,-20.00,-20.00",0,9,-20.0,0.019230769230769232,0.038461538461538464,5.4423076923076925,51.70574294388841,52.38738524255826,0.6816422986698488,1.0,rule_side
ext40bps_further0bps_entry21c,NO,45,70,0.04285714285714286,0.4666666666666667,-19.071428571428573,-21.0,"-21.00,-18.35,-18.50,-18.35",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,50,70,0.04285714285714286,0.42,-18.857142857142858,-21.0,"-21.00,-18.06,-18.22,-18.06",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,55,70,0.04285714285714286,0.38181818181818183,-18.642857142857142,-21.0,"-21.00,-17.76,-17.94,-17.76",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,60,70,0.04285714285714286,0.35,-18.428571428571427,-21.0,"-21.00,-17.47,-17.67,-17.47",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,65,70,0.04285714285714286,0.3230769230769231,-18.214285714285715,-21.0,"-21.00,-17.18,-17.39,-17.18",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,70,70,0.04285714285714286,0.3,-18.0,-21.0,"-21.00,-16.88,-17.11,-16.88",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,75,70,0.04285714285714286,0.28,-17.785714285714285,-21.0,"-21.00,-16.59,-16.83,-16.59",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,80,70,0.02857142857142857,0.2625,-18.714285714285715,-21.0,"-21.00,-16.29,-16.56,-21.00",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,85,70,0.02857142857142857,0.24705882352941178,-18.571428571428573,-21.0,"-21.00,-16.00,-16.28,-21.00",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,NO,99,70,0.02857142857142857,0.21212121212121213,-18.17142857142857,-21.0,"-21.00,-15.18,-15.50,-21.00",0,9,-21.0,0.02857142857142857,0.014285714285714285,5.957142857142857,48.97338104791381,50.00668303469355,1.0333019867797442,0.0,rule_side
ext40bps_further0bps_entry21c,YES,45,54,0.05555555555555555,0.4666666666666667,-18.5,-21.0,"-14.57,-21.00,-21.00,-17.54",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,50,54,0.05555555555555555,0.42,-18.22222222222222,-21.0,"-13.86,-21.00,-21.00,-17.15",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,55,54,0.05555555555555555,0.38181818181818183,-17.944444444444443,-21.0,"-13.14,-21.00,-21.00,-16.77",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,60,54,0.037037037037037035,0.35,-18.77777777777778,-21.0,"-16.71,-21.00,-21.00,-16.38",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,65,54,0.037037037037037035,0.3230769230769231,-18.59259259259259,-21.0,"-16.36,-21.00,-21.00,-16.00",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,70,54,0.037037037037037035,0.3,-18.40740740740741,-21.0,"-16.00,-21.00,-21.00,-15.62",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,75,54,0.037037037037037035,0.28,-18.22222222222222,-21.0,"-15.64,-21.00,-21.00,-15.23",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,80,54,0.037037037037037035,0.2625,-18.037037037037038,-21.0,"-15.29,-21.00,-21.00,-14.85",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,85,54,0.037037037037037035,0.24705882352941178,-17.85185185185185,-21.0,"-14.93,-21.00,-21.00,-14.46",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry21c,YES,99,54,0.037037037037037035,0.21212121212121213,-17.333333333333332,-21.0,"-13.93,-21.00,-21.00,-13.38",0,9,-21.0,0.037037037037037035,0.037037037037037035,5.388888888888889,51.400245449495685,51.78236834666471,0.38212289716902864,1.0,rule_side
ext40bps_further0bps_entry22c,NO,45,71,0.04225352112676056,0.4888888888888889,-20.098591549295776,-22.0,"-22.00,-19.50,-19.50,-19.35",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,50,71,0.04225352112676056,0.44,-19.887323943661972,-22.0,"-22.00,-19.22,-19.22,-19.06",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
ext40bps_further0bps_entry22c,NO,55,71,0.04225352112676056,0.4,-19.676056338028168,-22.0,"-22.00,-18.94,-18.94,-18.76",0,9,-22.0,0.028169014084507043,0.014084507042253521,5.915492957746479,48.96311180559422,51.16685277024163,2.2037409646474098,0.0,rule_side
