rule,side,btc_signed_bin,early_low_bin,target_c,trades,avg_entry_c,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,median_entry_minute
low<=25_close40-65_green,NO,against25-75,15-20,85,37,50.0,0.5405405405405406,0.5882352941176471,-4.054054054054054,-24.11111111111111,"7.10,-24.11,7.22,-7.67",5,9,-41.0,8.0
low<=25_close40-65_green,NO,against25-75,15-20,90,37,50.0,0.5405405405405406,0.5555555555555556,-1.3513513513513522,-22.444444444444443,"10.60,-22.44,10.56,-5.44",5,9,-41.0,8.0
low<=25_close40-65_green,NO,against25-75,15-20,99,37,50.0,0.4864864864864865,0.5050505050505051,-1.8378378378378386,-19.444444444444443,"16.90,-19.44,5.56,-12.44",3,9,-41.0,8.0
low<=25_close40-65_green,NO,against25-75,20-25,60,47,48.59574468085106,0.7446808510638298,0.8099290780141843,-3.9148936170212774,-13.750000000000002,"-13.75,-3.92,6.27,-3.42",4,10,-19.75,8.0
low<=25_close40-65_green,NO,against25-75,20-25,70,47,48.59574468085106,0.7021276595744681,0.6942249240121581,0.5531914893617019,-7.916666666666669,"-7.92,-2.25,9.00,4.08",5,10,-14.750000000000002,8.0
low<=25_close40-65_green,NO,against25-75,20-25,80,47,48.59574468085106,0.6382978723404256,0.6074468085106383,2.4680851063829787,-8.750000000000002,"-8.75,4.42,17.18,-1.75",6,10,-32.8,8.0
low<=25_close40-65_green,NO,against25-75,20-25,85,47,48.59574468085106,0.6382978723404256,0.5717146433041301,5.659574468085107,-6.250000000000003,"-6.25,7.75,21.27,1.17",6,10,-31.799999999999994,8.0
low<=25_close40-65_green,NO,against25-75,20-25,90,47,48.59574468085106,0.5319148936170213,0.5399527186761229,-0.7234042553191492,-11.250000000000002,"-11.25,3.58,17.18,-10.92",5,10,-61.0,8.0
low<=25_close40-65_green,NO,against25-75,20-25,99,47,48.59574468085106,0.44680851063829785,0.4908661078873845,-4.361702127659575,-15.750000000000002,"-15.75,0.58,5.73,-7.17",5,10,-61.0,8.0
low<=25_close40-65_green,NO,flat,15-20,60,99,48.61616161616162,0.6868686868686869,0.8102693602693604,-7.404040404040404,-12.52,"-7.64,-4.48,-4.88,-12.52",2,10,-16.466666666666665,7.0
