rule,side,btc_signed_bin,early_low_bin,trades,hit85,avg_entry_c,avg_pnl85_c,median_entry_minute
low<=40_close40-65_green,YES,against>75,15-20,15,0.6666666666666666,48.0,8.666666666666666,8.0
low<=30_close50-70_green,NO,with>75,25-30,7,0.8571428571428571,64.42857142857143,8.428571428571425,6.0
low<=35_close50-70_green,NO,with>75,25-30,7,0.8571428571428571,64.42857142857143,8.428571428571425,6.0
low<=40_close50-70_green,NO,with>75,25-30,7,0.8571428571428571,64.42857142857143,8.428571428571425,6.0
low<=30_close55-75_green,YES,against25-75,25-30,37,0.8108108108108109,60.648648648648646,8.270270270270272,8.0
low<=35_close55-75_green,YES,against25-75,25-30,37,0.8108108108108109,60.648648648648646,8.270270270270272,8.0
low<=40_close55-75_green,YES,against25-75,25-30,37,0.8108108108108109,60.648648648648646,8.270270270270272,8.0
low<=25_close55-75_green,NO,against>75,20-25,6,0.8333333333333334,62.833333333333336,7.999999999999997,10.0
low<=30_close55-75_green,NO,against>75,20-25,6,0.8333333333333334,62.833333333333336,7.999999999999997,10.0
low<=35_close55-75_green,NO,against>75,20-25,6,0.8333333333333334,62.833333333333336,7.999999999999997,10.0
low<=40_close55-75_green,NO,against>75,20-25,6,0.8333333333333334,62.833333333333336,7.999999999999997,10.0
low<=20_close55-75_green,YES,with25-75,<=15,14,0.8571428571428571,65.0,7.857142857142857,7.0
low<=25_close55-75_green,YES,with25-75,<=15,14,0.8571428571428571,65.0,7.857142857142857,7.0
low<=30_close55-75_green,YES,with25-75,<=15,14,0.8571428571428571,65.0,7.857142857142857,7.0
low<=35_close55-75_green,YES,with25-75,<=15,14,0.8571428571428571,65.0,7.857142857142857,7.0
low<=40_close55-75_green,YES,with25-75,<=15,14,0.8571428571428571,65.0,7.857142857142857,7.0
low<=35_close55-75_green,NO,with>75,30-35,9,0.8888888888888888,67.88888888888889,7.666666666666667,6.0
low<=40_close55-75_green,NO,with>75,30-35,9,0.8888888888888888,67.88888888888889,7.666666666666667,6.0
low<=25_close50-70_green,YES,against25-75,20-25,26,0.7692307692307693,57.76923076923077,7.615384615384617,8.5
low<=30_close50-70_green,YES,against25-75,20-25,26,0.7692307692307693,57.76923076923077,7.615384615384617,8.5
low<=35_close50-70_green,YES,against25-75,20-25,26,0.7692307692307693,57.76923076923077,7.615384615384617,8.5
low<=40_close50-70_green,YES,against25-75,20-25,26,0.7692307692307693,57.76923076923077,7.615384615384617,8.5
low<=20_close45-65_green,YES,against>75,15-20,15,0.6666666666666666,49.06666666666667,7.6,9.0
low<=25_close45-65_green,YES,against>75,15-20,15,0.6666666666666666,49.06666666666667,7.6,9.0
low<=30_close45-65_green,YES,against>75,15-20,15,0.6666666666666666,49.06666666666667,7.6,9.0
low<=35_close45-65_green,YES,against>75,15-20,15,0.6666666666666666,49.06666666666667,7.6,9.0
low<=40_close45-65_green,YES,against>75,15-20,15,0.6666666666666666,49.06666666666667,7.6,9.0
low<=25_close45-65_green,NO,against25-75,20-25,34,0.7058823529411765,52.5,7.499999999999998,8.0
low<=30_close45-65_green,NO,against25-75,20-25,34,0.7058823529411765,52.5,7.499999999999998,8.0
low<=35_close45-65_green,NO,against25-75,20-25,34,0.7058823529411765,52.5,7.499999999999998,8.0
low<=40_close45-65_green,NO,against25-75,20-25,34,0.7058823529411765,52.5,7.499999999999998,8.0
low<=35_close55-75_green,YES,against25-75,30-35,31,0.8387096774193549,63.96774193548387,7.32258064516129,8.0
low<=40_close55-75_green,YES,against25-75,30-35,31,0.8387096774193549,63.96774193548387,7.32258064516129,8.0
low<=20_close50-70_green,YES,with>75,<=15,10,0.8,60.7,7.3000000000000025,6.5
low<=25_close50-70_green,YES,with>75,<=15,10,0.8,60.7,7.3000000000000025,6.5
low<=30_close50-70_green,YES,with>75,<=15,10,0.8,60.7,7.3000000000000025,6.5
low<=35_close50-70_green,YES,with>75,<=15,10,0.8,60.7,7.3000000000000025,6.5
low<=40_close50-70_green,YES,with>75,<=15,10,0.8,60.7,7.3000000000000025,6.5
low<=20_close55-75_green,NO,with25-75,15-20,28,0.8214285714285714,62.785714285714285,7.035714285714284,7.0
low<=25_close55-75_green,NO,with25-75,15-20,28,0.8214285714285714,62.785714285714285,7.035714285714284,7.0
low<=30_close55-75_green,NO,with25-75,15-20,28,0.8214285714285714,62.785714285714285,7.035714285714284,7.0
low<=35_close55-75_green,NO,with25-75,15-20,28,0.8214285714285714,62.785714285714285,7.035714285714284,7.0
low<=40_close55-75_green,NO,with25-75,15-20,28,0.8214285714285714,62.785714285714285,7.035714285714284,7.0
low<=25_close50-70_green,NO,against>75,20-25,8,0.75,57.0,6.749999999999998,9.5
low<=30_close50-70_green,NO,against>75,20-25,8,0.75,57.0,6.749999999999998,9.5
low<=35_close50-70_green,NO,against>75,20-25,8,0.75,57.0,6.749999999999998,9.5
low<=40_close50-70_green,NO,against>75,20-25,8,0.75,57.0,6.749999999999998,9.5
low<=25_close55-75_green,NO,against25-75,20-25,27,0.8148148148148148,62.629629629629626,6.629629629629627,9.0
low<=30_close55-75_green,NO,against25-75,20-25,27,0.8148148148148148,62.629629629629626,6.629629629629627,9.0
low<=35_close55-75_green,NO,against25-75,20-25,27,0.8148148148148148,62.629629629629626,6.629629629629627,9.0
low<=40_close55-75_green,NO,against25-75,20-25,27,0.8148148148148148,62.629629629629626,6.629629629629627,9.0
low<=30_close45-65_green,YES,against25-75,25-30,58,0.6896551724137931,52.13793103448276,6.482758620689655,7.0
low<=35_close45-65_green,YES,against25-75,25-30,58,0.6896551724137931,52.13793103448276,6.482758620689655,7.0
low<=40_close45-65_green,YES,against25-75,25-30,58,0.6896551724137931,52.13793103448276,6.482758620689655,7.0
low<=30_close50-70_green,YES,against25-75,25-30,51,0.7450980392156863,57.11764705882353,6.215686274509804,8.0
low<=35_close50-70_green,YES,against25-75,25-30,51,0.7450980392156863,57.11764705882353,6.215686274509804,8.0
low<=40_close50-70_green,YES,against25-75,25-30,51,0.7450980392156863,57.11764705882353,6.215686274509804,8.0
low<=20_close40-65_green,NO,against25-75,<=15,28,0.6071428571428571,45.464285714285715,6.142857142857141,8.0
low<=25_close40-65_green,NO,against25-75,<=15,28,0.6071428571428571,45.464285714285715,6.142857142857141,8.0
low<=30_close40-65_green,NO,against25-75,<=15,28,0.6071428571428571,45.464285714285715,6.142857142857141,8.0
low<=35_close40-65_green,NO,against25-75,<=15,28,0.6071428571428571,45.464285714285715,6.142857142857141,8.0
low<=40_close40-65_green,NO,against25-75,<=15,28,0.6071428571428571,45.464285714285715,6.142857142857141,8.0
low<=25_close45-65_green,NO,with25-75,20-25,31,0.7419354838709677,57.16129032258065,5.90322580645161,6.0
low<=30_close45-65_green,NO,with25-75,20-25,31,0.7419354838709677,57.16129032258065,5.90322580645161,6.0
low<=35_close45-65_green,NO,with25-75,20-25,31,0.7419354838709677,57.16129032258065,5.90322580645161,6.0
low<=40_close45-65_green,NO,with25-75,20-25,31,0.7419354838709677,57.16129032258065,5.90322580645161,6.0
low<=35_close45-65_green,YES,against25-75,30-35,44,0.6818181818181818,52.06818181818182,5.886363636363637,8.0
low<=40_close45-65_green,YES,against25-75,30-35,44,0.6818181818181818,52.06818181818182,5.886363636363637,8.0
low<=20_close55-75_green,YES,with>75,<=15,10,0.8,62.2,5.8000000000000025,6.5
low<=25_close55-75_green,YES,with>75,<=15,10,0.8,62.2,5.8000000000000025,6.5
low<=30_close55-75_green,YES,with>75,<=15,10,0.8,62.2,5.8000000000000025,6.5
low<=35_close55-75_green,YES,with>75,<=15,10,0.8,62.2,5.8000000000000025,6.5
low<=40_close55-75_green,YES,with>75,<=15,10,0.8,62.2,5.8000000000000025,6.5
low<=35_close50-70_green,YES,against25-75,30-35,45,0.7333333333333333,56.62222222222222,5.711111111111111,8.0
low<=40_close50-70_green,YES,against25-75,30-35,45,0.7333333333333333,56.62222222222222,5.711111111111111,8.0
low<=25_close40-65_green,NO,against25-75,20-25,47,0.6382978723404256,48.59574468085106,5.659574468085107,8.0
low<=30_close40-65_green,NO,against25-75,20-25,47,0.6382978723404256,48.59574468085106,5.659574468085107,8.0
low<=35_close40-65_green,NO,against25-75,20-25,47,0.6382978723404256,48.59574468085106,5.659574468085107,8.0
low<=40_close40-65_green,NO,against25-75,20-25,47,0.6382978723404256,48.59574468085106,5.659574468085107,8.0
low<=20_close45-65_green,YES,with25-75,15-20,30,0.7,54.03333333333333,5.466666666666667,6.0
low<=25_close45-65_green,YES,with25-75,15-20,30,0.7,54.03333333333333,5.466666666666667,6.0
low<=30_close45-65_green,YES,with25-75,15-20,30,0.7,54.03333333333333,5.466666666666667,6.0
low<=35_close45-65_green,YES,with25-75,15-20,30,0.7,54.03333333333333,5.466666666666667,6.0
low<=40_close45-65_green,YES,with25-75,15-20,30,0.7,54.03333333333333,5.466666666666667,6.0
low<=40_close50-70_green,NO,with25-75,35+,44,0.8181818181818182,64.52272727272727,5.022727272727275,6.0
low<=40_close50-70_green,NO,against25-75,35+,44,0.75,58.72727272727273,5.02272727272727,8.0
low<=20_close40-65_green,YES,with25-75,15-20,33,0.6666666666666666,51.696969696969695,4.96969696969697,6.0
low<=25_close40-65_green,YES,with25-75,15-20,33,0.6666666666666666,51.696969696969695,4.96969696969697,6.0
low<=30_close40-65_green,YES,with25-75,15-20,33,0.6666666666666666,51.696969696969695,4.96969696969697,6.0
low<=35_close40-65_green,YES,with25-75,15-20,33,0.6666666666666666,51.696969696969695,4.96969696969697,6.0
low<=40_close40-65_green,YES,with25-75,15-20,33,0.6666666666666666,51.696969696969695,4.96969696969697,6.0
low<=30_close55-75_green,NO,with>75,25-30,15,0.8666666666666667,68.93333333333334,4.733333333333332,6.0
low<=35_close55-75_green,NO,with>75,25-30,15,0.8666666666666667,68.93333333333334,4.733333333333332,6.0
low<=40_close55-75_green,NO,with>75,25-30,15,0.8666666666666667,68.93333333333334,4.733333333333332,6.0
low<=35_close45-65_green,NO,against>75,30-35,3,0.6666666666666666,52.0,4.666666666666664,8.0
