pred_col,threshold,trades,avg_cost,hit99,settle_win,avg_pnl_99_c,avg_pnl_hold_c,median_minutes99,yes_share
pred_focus_hit99_hgb,0.6,381,0.5465091863517061,0.5748031496062992,0.5721784776902887,2.254593175853015,2.5669291338582654,9.0,0.5065616797900262
pred_focus_hit99_hgb,0.61,349,0.5460171919770773,0.5702005730659025,0.5702005730659025,1.848137535816616,2.418338108882519,9.0,0.5128939828080229
pred_focus_hit99_hgb,0.62,320,0.5463125,0.571875,0.571875,1.984374999999997,2.5562499999999972,9.0,0.503125
pred_focus_hit99_hgb,0.63,285,0.5470877192982456,0.6,0.6,4.691228070175437,5.291228070175437,9.0,0.49473684210526314
pred_focus_hit99_hgb,0.64,256,0.546875,0.60546875,0.60546875,5.253906249999997,5.859374999999998,9.0,0.4921875
pred_focus_hit99_hgb,0.65,225,0.5467555555555556,0.6088888888888889,0.6088888888888889,5.604444444444441,6.213333333333332,9.0,0.48
pred_focus_hit99_hgb,0.66,203,0.5475862068965518,0.5862068965517241,0.5862068965517241,3.2758620689655142,3.862068965517239,9.0,0.49261083743842365
pred_focus_hit99_hgb,0.67,184,0.5483695652173913,0.5869565217391305,0.5869565217391305,3.2717391304347787,3.858695652173911,9.0,0.4891304347826087
pred_focus_hit99_hgb,0.68,153,0.5481699346405229,0.5751633986928104,0.5751633986928104,2.1241830065359446,2.6993464052287557,9.0,0.477124183006536
pred_focus_hit99_hgb,0.69,137,0.5477372262773723,0.5693430656934306,0.5693430656934306,1.5912408759124057,2.160583941605837,9.0,0.4744525547445255
