kind,pred,threshold,cost_lo,cost_hi,target,trades,win_rate,avg_entry_c,avg_pnl_c,total_unit_pnl_c,avg_win_c,avg_loss_c,pf,min_q,q,pos_weeks,weeks,min_week,yes_share,final_balance_c,account_pnl_c,max_dd_c
ml,pred_focus_hit99_hgb,0.61,0.55,0.7,95,178,0.6235955056179775,56.971910112359545,-4.23033707865169,-753.0000000000008,31.50900900900901,-63.440298507462686,0.8228443712504411,-14.900000000000002,"-0.06,-14.90,-1.11,-0.70",3,8,-33.807692307692314,0.48314606741573035,2035.5,-9464.5,-11297.5
ml,pred_focus_hit99_hgb,0.61,0.55,0.7,99,178,0.6067415730337079,56.971910112359545,-3.4044943820224747,-606.0000000000005,35.49074074074074,-63.41428571428571,0.8634827663888263,-12.855555555555558,"0.41,-12.86,-0.73,-0.32",2,8,-32.57692307692308,0.48314606741573035,2358.5,-9141.5,-11096.0
ml,pred_focus_hit99_hgb,0.62,0.55,0.7,80,164,0.725609756097561,56.98170731707317,-5.432926829268292,-890.9999999999999,16.558823529411764,-63.58888888888889,0.6886248471081601,-10.792682926829269,"-4.84,-10.79,-3.16,-2.94",2,8,-26.59090909090909,0.4817073170731707,2029.5,-9470.5,-10539.5
ml,pred_focus_hit99_hgb,0.62,0.55,0.7,85,164,0.7073170731707317,56.98170731707317,-3.3597560975609797,-551.0000000000007,21.56896551724138,-63.604166666666664,0.8195217818539142,-11.64634146341464,"-3.26,-11.65,0.62,0.84",3,8,-32.045454545454554,0.4817073170731707,3287.0,-8213.0,-10024.0
ml,pred_focus_hit99_hgb,0.62,0.55,0.7,90,164,0.676829268292683,56.98170731707317,-2.5670731707317076,-421.00000000000006,26.545045045045047,-63.5377358490566,0.874981440237565,-8.597560975609756,"-4.11,-8.60,0.01,2.43",4,8,-30.227272727272727,0.4817073170731707,3572.0,-7928.0,-10272.0
ml,pred_focus_hit99_hgb,0.62,0.55,0.7,95,164,0.6341463414634146,56.98170731707317,-3.2378048780487845,-531.0000000000007,31.490384615384617,-63.43333333333333,0.8604834471886496,-10.182926829268299,"-3.13,-10.18,-1.09,1.45",5,8,-37.045454545454554,0.4817073170731707,3034.5,-8465.5,-10844.0
ml,pred_focus_hit99_hgb,0.62,0.55,0.7,99,164,0.6158536585365854,56.98170731707317,-2.512195121951222,-412.00000000000045,35.47029702970297,-63.404761904761905,0.8968581799974965,-10.35365853658537,"-0.60,-10.35,-0.87,1.77",4,8,-35.95454545454546,0.4817073170731707,3224.0,-8276.0,-10575.0
ml,pred_focus_hit99_hgb,0.63,0.55,0.7,80,150,0.74,57.006666666666675,-4.306666666666666,-645.9999999999999,16.554054054054053,-63.67948717948718,0.739883229313469,-10.921052631578947,"-2.29,-10.92,-1.01,-2.88",3,8,-27.38888888888889,0.48,3000.0,-8500.0,-10419.0
ml,pred_focus_hit99_hgb,0.63,0.55,0.7,85,150,0.72,57.006666666666675,-2.3066666666666706,-346.0000000000006,21.564814814814813,-63.69047619047619,0.8706542056074766,-12.105263157894742,"-0.71,-12.11,2.91,0.91",3,8,-34.611111111111114,0.48,4837.0,-6663.0,-9288.0
ml,pred_focus_hit99_hgb,0.63,0.55,0.7,90,150,0.6866666666666666,57.006666666666675,-1.7066666666666663,-255.99999999999994,26.538834951456312,-63.6063829787234,0.9143669509951496,-9.078947368421055,"-1.76,-9.08,1.96,2.26",3,8,-32.94444444444444,0.48,4815.5,-6684.5,-9424.0
ml,pred_focus_hit99_hgb,0.63,0.55,0.7,95,150,0.6533333333333333,57.006666666666675,-1.4400000000000048,-216.0000000000007,31.510204081632654,-63.53846153846154,0.9346246973365617,-8.552631578947373,"-0.84,-8.55,0.47,3.34",5,8,-31.277777777777786,0.48,5142.5,-6357.5,-9830.0
ml,pred_focus_hit99_hgb,0.63,0.55,0.7,99,150,0.64,57.006666666666675,-0.14666666666666894,-22.00000000000034,35.5,-63.51851851851852,0.9935860058309038,-8.842105263157897,"1.79,-8.84,3.18,3.47",4,8,-29.94444444444445,0.48,6647.0,-4853.0,-9389.0
ml,pred_focus_hit99_hgb,0.64,0.55,0.7,80,135,0.7481481481481481,56.95555555555555,-3.603703703703703,-486.49999999999994,16.58910891089109,-63.588235294117645,0.7749768732654949,-7.0,"-4.65,-7.00,-2.50,-0.17",3,8,-23.125,0.48148148148148145,4011.0,-7489.0,-9496.5
