rule,side,btc_ret_bin,ema15_bin,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low15-25_close35-55_green,YES,flat,above50-150,75,39,42.43589743589744,6.0,0.5641025641025641,0.5658119658119658,-0.1282051282051282,-21.2,"-12.70,17.60,17.56,-21.20",4,10,-39.666666666666664,0.43487179487177247,89.42648392858133,25.99972848804632,21.358974358974358
m5_low15-25_close35-55_green,YES,flat,above50-150,80,39,42.43589743589744,6.0,0.5641025641025641,0.530448717948718,2.6923076923076925,-19.7,"-10.70,21.60,21.44,-19.70",4,10,-39.666666666666664,0.43487179487177247,89.42648392858133,25.99972848804632,21.358974358974358
m5_low15-25_close35-55_green,YES,flat,above50-150,85,39,42.43589743589744,6.0,0.48717948717948717,0.49924585218702866,-1.0256410256410255,-26.7,"-17.20,17.10,25.33,-26.70",3,10,-43.0,0.43487179487177247,89.42648392858133,25.99972848804632,21.358974358974358
m5_low15-25_close35-55_green,YES,flat,above>150,65,30,42.96666666666667,6.0,0.6333333333333333,0.6610256410256411,-1.8,-15.857142857142858,"-5.50,5.29,-15.86,8.00",3,9,-39.0,-0.17000000000019402,284.4436120264834,78.84876724742595,21.7
m5_low15-25_close35-55_green,YES,flat,above>150,70,30,42.96666666666667,6.0,0.5666666666666667,0.6138095238095238,-3.3,-23.714285714285715,"-2.38,-1.14,-23.71,11.75",4,9,-42.25,-0.17000000000019402,284.4436120264834,78.84876724742595,21.7
m5_low15-25_close35-55_green,YES,flat,above>150,75,30,42.96666666666667,6.0,0.5333333333333333,0.5728888888888889,-2.966666666666667,-22.285714285714285,"0.75,-9.00,-22.29,15.50",3,9,-42.25,-0.17000000000019402,284.4436120264834,78.84876724742595,21.7
m5_low15-25_close35-55_green,YES,flat,above>150,80,30,42.96666666666667,6.0,0.5,0.5370833333333334,-2.966666666666667,-20.857142857142858,"3.88,-6.86,-20.86,9.25",4,9,-42.25,-0.17000000000019402,284.4436120264834,78.84876724742595,21.7
m5_low15-25_close35-55_green,YES,flat,above>150,85,30,42.96666666666667,6.0,0.5,0.5054901960784314,-0.4666666666666667,-19.428571428571427,"7.00,-4.71,-19.43,12.38",5,9,-42.25,-0.17000000000019402,284.4436120264834,78.84876724742595,21.7
m5_low15-25_close40-60_green,NO,flat,below>150,65,29,47.37931034482759,6.0,0.6206896551724138,0.7289124668435013,-7.034482758620691,-10.285714285714286,"-1.75,-9.29,-7.57,-10.29",3,9,-26.0,1.4293103448269842,-284.46658476911597,-74.95404645512136,20.0
m5_low15-25_close40-60_green,NO,flat,below>150,70,29,47.37931034482759,6.0,0.6206896551724138,0.6768472906403941,-3.9310344827586228,-7.428571428571428,"2.00,-6.43,-4.71,-7.43",4,9,-24.333333333333332,1.4293103448269842,-284.46658476911597,-74.95404645512136,20.0
