side_filter,entry_c,target_c,gross_win_c,loss_c,breakeven_hit_rate,trades,hit_rate,edge_vs_breakeven,avg_pnl_c,total_pnl_c,median_fill_minute,avg_spread_at_fill_c,median_spread_at_fill_c,min_quartile_ev_c,quartile_ev_c,quartile_hit_rate,positive_weeks,weeks,min_week_ev_c
BOTH,33,34,1,33,0.9705882352941176,8386,0.830431671834009,-0.14015656346010863,-4.765323157643692,-39962,3.0,1.0278917243024086,1.0000000000000009,-5.128755364806867,"-5.13,-4.58,-5.07,-4.29","0.820,0.836,0.822,0.845",0,10,-5.705336426914153
BOTH,33,35,2,33,0.9428571428571428,8386,0.8115907464822323,-0.13126639637491055,-4.59432387312187,-38528,3.0,1.0278917243024086,1.0000000000000009,-5.010014306151645,"-5.01,-4.46,-4.86,-4.04","0.800,0.815,0.804,0.827",0,10,-5.470997679814385
BOTH,33,36,3,33,0.9166666666666666,8386,0.7982351538278083,-0.11843151283885833,-4.263534462198903,-35754,3.0,1.0278917243024086,1.0000000000000009,-4.605150214592275,"-4.61,-4.18,-4.56,-3.71","0.789,0.801,0.790,0.814",0,10,-5.143851508120649
BOTH,33,37,4,33,0.8918918918918919,8386,0.7829716193656093,-0.10892027252628256,-4.030050083472454,-33796,3.0,1.0278917243024086,1.0000000000000009,-4.381020505484025,"-4.38,-3.86,-4.31,-3.57","0.773,0.788,0.775,0.795",0,10,-4.928074245939675
BOTH,33,38,5,33,0.868421052631579,8386,0.7677080849034105,-0.10071296772816851,-3.8270927736704032,-32094,3.0,1.0278917243024086,1.0000000000000009,-4.20553171196948,"-4.21,-3.67,-4.08,-3.35","0.758,0.772,0.761,0.780",0,10,-4.698375870069605
BOTH,33,39,6,33,0.8461538461538461,8386,0.7492248986405915,-0.09692894751325465,-3.780228953016933,-31701,3.0,1.0278917243024086,1.0000000000000009,-4.047709923664122,"-3.97,-3.60,-4.05,-3.50","0.744,0.754,0.742,0.756",0,10,-4.541763341067285
BOTH,33,40,7,33,0.825,8386,0.733126639637491,-0.09187336036250893,-3.674934414500358,-30818,3.0,1.0278917243024086,1.0000000000000009,-4.011450381679389,"-3.82,-3.65,-4.01,-3.22","0.730,0.734,0.725,0.744",0,10,-4.368909512761021
BOTH,33,41,8,33,0.8048780487804879,8386,0.7183400906272359,-0.08653795815325194,-3.548056284283329,-29754,3.0,1.0278917243024086,1.0000000000000009,-3.8931297709923665,"-3.69,-3.58,-3.89,-3.03","0.715,0.718,0.710,0.731",0,10,-4.41415313225058
BOTH,33,42,9,33,0.7857142857142857,8386,0.7031958025280229,-0.08251848318626276,-3.4657762938230383,-29064,3.0,1.0278917243024086,1.0000000000000009,-3.704198473282443,"-3.66,-3.36,-3.70,-3.14","0.699,0.706,0.698,0.711",0,10,-4.447795823665893
BOTH,33,43,10,33,0.7674418604651163,8386,0.6899594562365848,-0.07748240422853148,-3.3317433818268545,-27940,3.0,1.0278917243024086,1.0000000000000009,-3.4580152671755724,"-3.43,-3.29,-3.46,-3.14","0.688,0.691,0.687,0.694",0,10,-4.067285382830627
BOTH,33,44,11,33,0.75,8386,0.6704030527068925,-0.07959694729310751,-3.5022656808967327,-29370,3.0,1.0278917243024086,1.0000000000000009,-3.8135431568907965,"-3.81,-3.40,-3.51,-3.29","0.663,0.673,0.670,0.675",0,10,-4.262180974477959
BOTH,33,45,12,33,0.7333333333333333,8386,0.657643691867398,-0.07568964146593526,-3.406033865967088,-28563,3.0,1.0278917243024086,1.0000000000000009,-3.772532188841202,"-3.77,-3.29,-3.42,-3.15","0.649,0.660,0.657,0.663",0,10,-4.3399071925754065
BOTH,33,46,13,33,0.717391304347826,8386,0.6532315764369186,-0.0641597279109074,-2.951347483901741,-24750,3.0,1.0278917243024086,1.0000000000000009,-3.2765855984740107,"-3.28,-2.82,-3.06,-2.64","0.646,0.656,0.651,0.660",0,10,-3.9698375870069604
BOTH,33,47,14,33,0.7021276595744681,8386,0.6416646792272835,-0.06046298034718456,-2.8417600763176725,-23831,3.0,1.0278917243024086,1.0000000000000009,-3.1459227467811157,"-3.15,-2.66,-2.93,-2.63","0.635,0.646,0.640,0.646",0,10,-3.9385150812064964
BOTH,33,48,15,33,0.6875,8386,0.6286668256618173,-0.05883317433818269,-2.823992368232769,-23682,3.0,1.0278917243024086,1.0000000000000009,-3.060085836909871,"-3.06,-2.56,-2.95,-2.72","0.624,0.634,0.626,0.631",0,10,-3.9327146171693736
