target,min_reclaim,max_entry,max_minute,exclude_hours,n,avg,win,avgwin,avgloss,pf,minq,q,poswk,weeks,minwk,acct,dd,avgsize
99,8,55,10,"(3, 12, 18)",19,9.131578947368421,0.631578947368421,46.25,-54.5,1.45478374836173,-15.3,"9.70,-15.30,25.30,18.75",5,8,-59.5,4263.0,-6594.0,27.68421052631579
65,4,47,10,(),16,9.125,0.875,16.5,-42.5,2.7176470588235295,2.75,"2.75,15.75,15.00,3.00",7,9,-42.5,3838.0,-1870.0,31.75
65,4,47,10,"(12,)",16,9.125,0.875,16.5,-42.5,2.7176470588235295,2.75,"2.75,15.75,15.00,3.00",7,9,-42.5,3838.0,-1870.0,31.75
80,5,50,8,"(18,)",16,9.125,0.75,28.666666666666668,-49.5,1.7373737373737375,-33.0,"30.50,-33.00,27.75,11.25",5,8,-42.5,3550.0,-4080.0,29.75
80,5,50,8,"(12, 18)",16,9.125,0.75,28.666666666666668,-49.5,1.7373737373737375,-33.0,"30.50,-33.00,27.75,11.25",5,8,-42.5,3550.0,-4080.0,29.75
90,0,50,10,"(3,)",29,9.120689655172415,0.6551724137931034,40.23684210526316,-50.0,1.529,-24.928571428571427,"18.00,-24.93,26.50,15.64",5,10,-49.0,7419.0,-6479.0,30.96551724137931
95,0,50,10,"(3,)",29,9.120689655172415,0.6206896551724138,45.388888888888886,-50.22727272727273,1.4787330316742082,-23.5,"21.75,-23.50,30.79,5.64",5,10,-49.0,7312.5,-6329.0,32.58620689655172
75,7,55,8,"(18,)",18,9.11111111111111,0.8333333333333334,21.5,-52.833333333333336,2.034700315457413,-7.1,"24.10,-7.10,21.25,-1.50",6,8,-21.0,4348.0,-3267.0,29.22222222222222
75,7,55,8,"(12, 18)",18,9.11111111111111,0.8333333333333334,21.5,-52.833333333333336,2.034700315457413,-7.1,"24.10,-7.10,21.25,-1.50",6,8,-21.0,4348.0,-3267.0,29.22222222222222
75,8,55,8,"(18,)",18,9.11111111111111,0.8333333333333334,21.5,-52.833333333333336,2.034700315457413,-7.1,"24.10,-7.10,21.25,-1.50",6,8,-21.0,4348.0,-3267.0,29.22222222222222
75,8,55,8,"(12, 18)",18,9.11111111111111,0.8333333333333334,21.5,-52.833333333333336,2.034700315457413,-7.1,"24.10,-7.10,21.25,-1.50",6,8,-21.0,4348.0,-3267.0,29.22222222222222
95,4,55,10,"(12,)",28,9.107142857142858,0.6428571428571429,43.166666666666664,-52.2,1.4885057471264367,-13.357142857142858,"4.79,-13.36,29.36,15.64",6,9,-49.0,6617.0,-6229.0,27.785714285714285
90,0,43,10,"(20,)",15,9.1,0.6,44.388888888888886,-43.833333333333336,1.5190114068441065,-2.0,"23.75,-2.00,0.75,15.50",5,9,-49.5,2809.5,-3273.0,34.6
75,5,55,7,"(3, 18)",17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-14.75,"24.10,-14.75,22.25,1.00",6,8,-59.5,4179.5,-3267.0,29.11764705882353
75,5,55,7,"(3, 12, 18)",17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-14.75,"24.10,-14.75,22.25,1.00",6,8,-59.5,4179.5,-3267.0,29.11764705882353
75,7,55,7,(),17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-1.5,"10.50,3.50,23.50,-1.50",6,8,-21.0,4370.0,-3069.0,29.176470588235293
75,7,55,7,"(12,)",17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-1.5,"10.50,3.50,23.50,-1.50",6,8,-21.0,4370.0,-3069.0,29.176470588235293
75,7,55,7,"(14,)",17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-1.5,"10.50,3.50,23.50,-1.50",6,8,-21.0,4370.0,-3069.0,29.176470588235293
75,8,55,7,(),17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-1.5,"10.50,3.50,23.50,-1.50",6,8,-21.0,4370.0,-3069.0,29.176470588235293
75,8,55,7,"(12,)",17,9.088235294117647,0.8235294117647058,22.357142857142858,-52.833333333333336,1.974763406940063,-1.5,"10.50,3.50,23.50,-1.50",6,8,-21.0,4370.0,-3069.0,29.176470588235293
