model,edge,cost_low,cost_high,target_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_yes_share,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_yes_share
p_lightgbm,0.09999999999999999,0.4,0.7,90,175,-2.4257142857142857,0.8877578001057641,0.6114285714285714,0.6971428571428572,136,0.9044117647058817,1.0549107142857144,0.7352941176470589,0.2426470588235294
p_lightgbm,0.07999999999999999,0.5,0.8,99,157,-2.5764331210191083,0.8871215292311986,0.6496815286624203,0.7197452229299363,259,-2.554054054054054,0.8782440640530094,0.6988416988416989,0.29343629343629346
p_kalshi_signal,0.03,0.5,0.8,99,487,-2.4671457905544147,0.886484954414474,0.6694045174537988,0.6242299794661191,416,-5.0048076923076925,0.7799038004122839,0.6754807692307693,0.38221153846153844
p_btc_signal,0.039999999999999994,0.4,0.7,100,564,-2.8404255319148937,0.8863587997446265,0.5673758865248227,0.5957446808510638,375,-4.473333333333334,0.820242177453922,0.5946666666666667,0.312
p_lightgbm,0.10999999999999999,0.3,0.6,100,251,-2.9302788844621515,0.886268749033555,0.44223107569721115,0.7609561752988048,57,-6.4298245614035086,0.7610821382007823,0.5087719298245614,0.12280701754385964
p_hist_gb,0.09,0.4,0.7,90,210,-2.5095238095238095,0.8850725111765347,0.6047619047619047,0.6523809523809524,161,-1.6428571428571432,0.9127494639617351,0.6956521739130435,0.21739130434782608
p_hist_gb,0.09,0.5,0.8,90,117,-2.1923076923076925,0.8849517829109665,0.7008547008547008,0.6837606837606838,178,-3.365168539325843,0.8069921056871274,0.7471910112359551,0.21910112359550563
p_btc_signal,0.049999999999999996,0.6,0.9,100,255,-2.131372549019608,0.8845949676186432,0.7529411764705882,0.6627450980392157,390,-4.3,0.7852752880921895,0.7384615384615385,0.3435897435897436
p_lightgbm,0.09999999999999999,0.0,1.0,99,450,-2.714888888888889,0.8838489475385521,0.43333333333333335,0.7311111111111112,231,-0.14502164502164527,0.9919442106528796,0.70995670995671,0.20346320346320346
p_btc_signal,0.07999999999999999,0.5,0.8,99,218,-2.610091743119266,0.8838182746299132,0.6559633027522935,0.7385321100917431,351,-3.97008547008547,0.8193778353856125,0.6866096866096866,0.27635327635327633
p_lightgbm,0.06999999999999999,0.4,0.7,90,313,-2.4936102236421727,0.8836984056027418,0.6166134185303515,0.6773162939297125,241,-1.3547717842323652,0.9269002574722938,0.7053941908713693,0.26141078838174275
p_residual_lightgbm,0.02,0.5,0.8,100,752,-2.533244680851064,0.8834185000458983,0.6821808510638298,0.5305851063829787,330,-3.2848484848484847,0.8517606837606838,0.6818181818181818,0.45454545454545453
p_hist_gb,0.09999999999999999,0.4,0.7,100,172,-2.9825581395348837,0.8831568158524086,0.5406976744186046,0.6627906976744186,132,-2.6666666666666665,0.8900171848148727,0.6136363636363636,0.23484848484848486
p_hist_gb,0.09999999999999999,0.4,0.7,99,172,-2.947674418604651,0.8830179972311952,0.5465116279069767,0.6627906976744186,132,-2.5303030303030303,0.8933929141398022,0.6212121212121212,0.23484848484848486
p_hist_gb,0.07999999999999999,0.4,0.7,90,268,-2.5858208955223883,0.8824228028503563,0.6044776119402985,0.6604477611940298,187,-1.5748663101604279,0.9156160458452722,0.7005347593582888,0.24064171122994651
p_hist_gb,0.02,0.5,0.8,99,550,-2.5945454545454547,0.8812565009361348,0.6672727272727272,0.6436363636363637,476,-3.4453781512605044,0.8433320596102407,0.6848739495798319,0.3739495798319328
p_residual_lightgbm,0.06,0.6,0.9,100,316,-1.990506329113924,0.8800762631077217,0.7848101265822784,0.5348101265822784,105,-4.204761904761905,0.7905100830367734,0.7428571428571429,0.37142857142857144
p_logit,0.06999999999999999,0.6,0.9,99,108,-2.324074074074074,0.8794428434197886,0.7407407407407407,0.7962962962962963,185,-4.786486486486487,0.7571976967370442,0.7405405405405405,0.1945945945945946
p_hist_gb,0.03,0.5,0.8,99,462,-2.688311688311688,0.8789237668161435,0.6623376623376623,0.6753246753246753,446,-4.020179372197309,0.8193450881612091,0.6816143497757847,0.3654708520179372
p_market_blend,0.02,0.4,0.7,100,213,-3.1056338028169015,0.8780982216898553,0.5446009389671361,0.7089201877934272,205,-4.553658536585366,0.8173189823874756,0.6097560975609756,0.2146341463414634
p_ensemble,0.049999999999999996,0.5,0.8,99,228,-2.758771929824561,0.8776145539449363,0.6535087719298246,0.7543859649122807,344,-5.607558139534884,0.7573432291339078,0.6715116279069767,0.29069767441860467
p_btc_signal,0.07999999999999999,0.4,0.7,100,293,-3.1109215017064846,0.8774783251562605,0.5597269624573379,0.689419795221843,277,-3.6299638989169676,0.8502159988082825,0.6101083032490975,0.259927797833935
p_btc_signal,0.049999999999999996,0.4,0.7,100,484,-3.080578512396694,0.8772890004526562,0.5640495867768595,0.5991735537190083,350,-4.085714285714285,0.833595159131902,0.6028571428571429,0.3057142857142857
p_ensemble,0.11999999999999998,0.0,1.0,90,107,-2.8738317757009346,0.8772210021960472,0.42990654205607476,0.794392523364486,57,-4.973684210526316,0.7319148936170212,0.7017543859649122,0.22807017543859648
p_btc_signal,0.02,0.5,0.8,100,636,-2.75314465408805,0.8764508731698712,0.6619496855345912,0.6210691823899371,505,-3.5712871287128714,0.8396532562791732,0.6811881188118812,0.3702970297029703
p_logit,0.06999999999999999,0.5,0.8,99,169,-2.701183431952663,0.8760184682237914,0.6686390532544378,0.7100591715976331,205,-4.8951219512195125,0.7864211982547622,0.6731707317073171,0.18536585365853658
p_xgboost,0.06999999999999999,0.6,0.9,100,129,-2.182170542635659,0.8757722859664607,0.7674418604651163,0.8294573643410853,296,-7.3074324324324325,0.659959125923597,0.722972972972973,0.34121621621621623
p_btc_signal,0.06,0.4,0.7,100,407,-3.1314496314496316,0.875500634951646,0.5626535626535627,0.6240786240786241,323,-3.7724458204334366,0.8445691689521015,0.6068111455108359,0.29721362229102166
p_lightgbm,0.07999999999999999,0.4,0.7,99,251,-3.137450199203187,0.874860956618465,0.5537848605577689,0.6812749003984063,196,-1.8673469387755102,0.9190175904414205,0.6377551020408163,0.25510204081632654
p_lightgbm,0.049999999999999996,0.5,0.8,99,327,-2.7752293577981653,0.8746633519784546,0.6605504587155964,0.7064220183486238,377,-4.582228116710875,0.7963934233013141,0.6790450928381963,0.3183023872679045
p_ensemble,0.09,0.3,0.6,90,210,-2.9238095238095236,0.8745402533714752,0.4857142857142857,0.7571428571428571,52,-2.980769230769233,0.8604860486048604,0.6153846153846154,0.09615384615384616
p_hist_gb,0.039999999999999994,0.5,0.8,100,394,-2.8781725888324874,0.874237551292004,0.649746192893401,0.6852791878172588,396,-4.633838383838384,0.7990252450577734,0.6691919191919192,0.3484848484848485
p_ensemble,0.09,0.0,1.0,100,296,-3.09054054054054,0.8741470394012767,0.42567567567567566,0.7668918918918919,187,-2.874331550802139,0.8615404430705822,0.6898395721925134,0.1711229946524064
