rule,side,target_c,trades,avg_entry_c,median_entry_minute,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,avg_signed_btc_ret_window,avg_signed_dist_ema21_15m,avg_signed_ema21_slope_15m,avg_early_low_c
m5_low15-25_close40-60_green,YES,85,371,48.83288409703504,7.0,0.6091644204851752,0.5745045187886475,2.9460916442048517,-0.5591397849462363,"-0.56,3.05,4.70,4.61",7,10,-2.9249999999999994,-3.8820215633421893,-19.702207873683314,-2.762034337192421,21.024258760107816
m5_low15-25_close45-65_green,NO,65,316,53.651898734177216,7.0,0.8132911392405063,0.8254138266796495,-0.7879746835443048,-4.037974683544305,"-4.04,-0.33,0.04,1.18",5,10,-8.861111111111112,-4.784620253164472,-28.63733683592513,-3.4450307711663473,20.5
m5_low15-25_close45-65_green,NO,70,316,53.651898734177216,7.0,0.7816455696202531,0.7664556962025316,1.0632911392405053,-2.0126582278481027,"-2.01,1.13,1.49,3.65",6,10,-7.600000000000001,-4.784620253164472,-28.63733683592513,-3.4450307711663473,20.5
m5_low15-25_close45-65_green,NO,75,316,53.651898734177216,7.0,0.740506329113924,0.7153586497890295,1.8860759493670878,-0.6455696202531663,"0.71,-0.65,3.52,3.96",6,10,-6.457142857142859,-4.784620253164472,-28.63733683592513,-3.4450307711663473,20.5
m5_low15-25_close45-65_green,NO,80,316,53.651898734177216,7.0,0.6962025316455697,0.6706487341772152,2.0443037974683542,-0.13924050632911572,"0.27,-0.14,2.25,5.80",6,10,-5.3529411764705905,-4.784620253164472,-28.63733683592513,-3.4450307711663473,20.5
m5_low15-25_close45-65_green,NO,85,316,53.651898734177216,7.0,0.6550632911392406,0.631198808637379,2.0284810126582276,-3.2405063291139253,"-1.76,-3.24,4.66,8.46",4,10,-4.764705882352944,-4.784620253164472,-28.63733683592513,-3.4450307711663473,20.5
m5_low15-25_close45-65_green,YES,65,352,53.23011363636363,7.0,0.7982954545454546,0.8189248251748251,-1.340909090909091,-4.602272727272727,"-4.60,0.08,0.58,-1.42",2,10,-7.153846153846152,-0.3217897727272636,-18.844079878234528,-3.250908962428887,21.21875
m5_low15-25_close45-65_green,YES,70,352,53.23011363636363,7.0,0.7556818181818182,0.7604301948051948,-0.33238636363636365,-3.295454545454545,"-3.30,0.19,1.55,0.23",5,10,-5.358974358974359,-0.3217897727272636,-18.844079878234528,-3.250908962428887,21.21875
m5_low15-25_close45-65_green,YES,75,352,53.23011363636363,7.0,0.7159090909090909,0.7097348484848485,0.4630681818181818,-3.181818181818181,"-3.18,0.59,3.76,0.68",6,10,-7.666666666666665,-0.3217897727272636,-18.844079878234528,-3.250908962428887,21.21875
m5_low15-25_close45-65_green,YES,80,352,53.23011363636363,7.0,0.6818181818181818,0.6653764204545454,1.3153409090909092,-0.7954545454545451,"-0.80,-0.38,3.93,2.50",7,10,-5.75,-0.3217897727272636,-18.844079878234528,-3.250908962428887,21.21875
m5_low15-25_close45-65_green,YES,85,352,53.23011363636363,7.0,0.6505681818181818,0.6262366310160428,2.0681818181818183,-1.4204545454545452,"-1.42,0.02,5.58,4.09",7,10,-5.871794871794871,-0.3217897727272636,-18.844079878234528,-3.250908962428887,21.21875
m5_low15-25_close50-70_green,NO,65,313,57.87539936102237,7.0,0.8753993610223643,0.8903907594003441,-0.9744408945686913,-3.423076923076925,"-2.39,-3.42,0.15,1.78",4,10,-9.187500000000002,-0.22632587859409856,-24.883869091187428,-4.989448943937445,20.466453674121407
m5_low15-25_close50-70_green,NO,70,313,57.87539936102237,7.0,0.8338658146964856,0.8267914194431767,0.4952076677316283,-1.948717948717951,"-0.87,-1.95,1.95,2.87",5,10,-8.694444444444446,-0.22632587859409856,-24.883869091187428,-4.989448943937445,20.466453674121407
m5_low15-25_close50-70_green,NO,75,313,57.87539936102237,7.0,0.7891373801916933,0.7716719914802982,1.309904153354632,-2.782051282051284,"-0.68,-2.78,4.32,4.41",5,10,-7.305555555555557,-0.22632587859409856,-24.883869091187428,-4.989448943937445,20.466453674121407
m5_low15-25_close50-70_green,NO,80,313,57.87539936102237,7.0,0.7380191693290735,0.7234424920127795,1.166134185303514,-2.2051282051282075,"-1.00,-2.21,4.38,3.51",4,10,-5.916666666666668,-0.22632587859409856,-24.883869091187428,-4.989448943937445,20.466453674121407
m5_low15-25_close50-70_green,NO,85,313,57.87539936102237,7.0,0.7060702875399361,0.6808870513061455,2.140575079872204,-4.192307692307694,"-1.82,-4.19,7.21,7.42",5,10,-9.770833333333334,-0.22632587859409856,-24.883869091187428,-4.989448943937445,20.466453674121407
m5_low15-25_close50-70_green,YES,65,329,57.89969604863222,7.0,0.8753799392097265,0.8907645545943419,-1.0,-2.6746987951807224,"-2.67,-0.51,1.32,-2.11",5,10,-9.36,5.135167173252416,-22.178190320885857,-4.483793032693109,21.29787234042553
m5_low15-25_close50-70_green,YES,70,329,57.89969604863222,7.0,0.8115501519756839,0.8271385149804603,-1.0911854103343466,-1.2439024390243907,"-0.99,-1.24,-0.94,-1.20",3,10,-5.56,5.135167173252416,-22.178190320885857,-4.483793032693109,21.29787234042553
m5_low15-25_close50-70_green,YES,75,329,57.89969604863222,7.0,0.7720364741641338,0.7719959473150962,0.003039513677811464,-0.5662650602409631,"-0.57,0.04,0.40,0.15",4,10,-4.760000000000001,5.135167173252416,-22.178190320885857,-4.483793032693109,21.29787234042553
m5_low15-25_close50-70_green,YES,80,329,57.89969604863222,7.0,0.7355623100303952,0.7237462006079027,0.9452887537993921,-1.975609756097561,"1.30,-1.98,1.38,3.07",3,10,-4.648648648648648,5.135167173252416,-22.178190320885857,-4.483793032693109,21.29787234042553
m5_low15-25_close50-70_green,YES,85,329,57.89969604863222,7.0,0.7082066869300911,0.6811728946897908,2.297872340425532,-0.5731707317073174,"0.88,-0.57,3.02,5.88",7,10,-5.864864864864864,5.135167173252416,-22.178190320885857,-4.483793032693109,21.29787234042553
m5_low20-30_close35-55_green,NO,65,386,43.39637305699482,6.0,0.6191709844559585,0.667636508569151,-3.150259067357513,-6.474226804123711,"-2.25,-0.44,-3.42,-6.47",2,10,-7.880952380952381,-16.73432642487046,-19.27091777378843,0.05953600962765888,25.194300518134714
m5_low20-30_close35-55_green,NO,70,386,43.39637305699482,6.0,0.5984455958549223,0.6199481865284974,-1.505181347150259,-5.082474226804123,"-1.22,1.39,-1.07,-5.08",5,10,-6.809523809523809,-16.73432642487046,-19.27091777378843,0.05953600962765888,25.194300518134714
m5_low20-30_close35-55_green,NO,75,386,43.39637305699482,6.0,0.5492227979274611,0.5786183074265976,-2.204663212435233,-5.443298969072165,"-2.04,0.66,-1.96,-5.44",3,10,-8.687499999999998,-16.73432642487046,-19.27091777378843,0.05953600962765888,25.194300518134714
m5_low20-30_close35-55_green,NO,80,386,43.39637305699482,6.0,0.5077720207253886,0.5424546632124352,-2.7746113989637307,-5.03125,"-3.38,1.91,-5.03,-4.57",3,10,-7.285714285714286,-16.73432642487046,-19.27091777378843,0.05953600962765888,25.194300518134714
m5_low20-30_close35-55_green,NO,85,386,43.39637305699482,6.0,0.48186528497409326,0.5105455653764096,-2.437823834196891,-4.773195876288659,"-2.61,1.18,-3.52,-4.77",3,10,-11.968749999999998,-16.73432642487046,-19.27091777378843,0.05953600962765888,25.194300518134714
m5_low20-30_close35-55_green,YES,65,457,44.44201312910285,6.0,0.6652078774617067,0.6837232789092745,-1.2035010940919038,-3.391304347826087,"-3.39,3.74,-2.58,-2.56",4,10,-9.53191489361702,-11.089737417942969,4.295485153877508,4.187108583739313,25.516411378555798
m5_low20-30_close35-55_green,YES,70,457,44.44201312910285,6.0,0.6258205689277899,0.6348859018443264,-0.6345733041575492,-3.675438596491228,"-2.04,4.39,-3.68,-1.20",6,10,-12.829787234042554,-11.089737417942969,4.295485153877508,4.187108583739313,25.516411378555798
m5_low20-30_close35-55_green,YES,75,457,44.44201312910285,6.0,0.5886214442013129,0.5925601750547046,-0.29540481400437635,-2.754385964912281,"-1.61,4.61,-2.75,-1.42",5,10,-12.191489361702128,-11.089737417942969,4.295485153877508,4.187108583739313,25.516411378555798
m5_low20-30_close35-55_green,YES,80,457,44.44201312910285,6.0,0.5536105032822757,0.5555251641137856,-0.15317286652078774,-3.5,"-2.22,5.10,-3.50,0.03",6,10,-11.76595744680851,-11.089737417942969,4.295485153877508,4.187108583739313,25.516411378555798
m5_low20-30_close35-55_green,YES,85,457,44.44201312910285,6.0,0.5317286652078774,0.5228472132835629,0.7549234135667396,-1.7826086956521738,"-1.78,6.72,-1.70,-0.19",6,10,-13.361702127659575,-11.089737417942969,4.295485153877508,4.187108583739313,25.516411378555798
m5_low20-30_close40-60_green,NO,65,388,48.91237113402062,7.0,0.7164948453608248,0.752498017446471,-2.3402061855670113,-3.0515463917525785,"-2.45,-3.05,-2.03,-1.82",2,10,-8.363636363636365,-7.358556701030916,-11.452239126965313,-0.6379316407110872,25.216494845360824
m5_low20-30_close40-60_green,NO,70,388,48.91237113402062,7.0,0.6907216494845361,0.6987481590574374,-0.5618556701030938,-1.7319587628865993,"-1.73,-0.32,-0.59,0.39",6,10,-7.3030303030303045,-7.358556701030916,-11.452239126965313,-0.6379316407110872,25.216494845360824
m5_low20-30_close40-60_green,NO,75,388,48.91237113402062,7.0,0.654639175257732,0.6521649484536082,0.1855670103092776,-0.6494845360824757,"-0.65,-0.01,-0.23,1.63",6,10,-8.81818181818182,-7.358556701030916,-11.452239126965313,-0.6379316407110872,25.216494845360824
m5_low20-30_close40-60_green,NO,80,388,48.91237113402062,7.0,0.6030927835051546,0.6114046391752577,-0.6649484536082483,-2.350515463917527,"-2.35,-0.11,-1.93,1.73",3,10,-8.515151515151517,-7.358556701030916,-11.452239126965313,-0.6379316407110872,25.216494845360824
m5_low20-30_close40-60_green,NO,85,388,48.91237113402062,7.0,0.5773195876288659,0.5754396604002425,0.15979381443298887,-0.7422680412371152,"-0.29,-0.63,-0.74,2.30",4,10,-13.666666666666668,-7.358556701030916,-11.452239126965313,-0.6379316407110872,25.216494845360824
m5_low20-30_close40-60_green,YES,65,478,49.24476987447699,7.0,0.7217573221757322,0.7576118442227229,-2.3305439330543933,-4.53781512605042,"-2.32,1.18,-4.54,-3.63",3,10,-9.415094339622641,-5.175460251045909,9.887962277595484,4.629612250279785,25.673640167364017
m5_low20-30_close40-60_green,YES,70,478,49.24476987447699,7.0,0.6841004184100419,0.7034967124925284,-1.3577405857740585,-5.2521008403361344,"-0.48,2.77,-5.25,-2.47",4,10,-12.90566037735849,-5.175460251045909,9.887962277595484,4.629612250279785,25.673640167364017
m5_low20-30_close40-60_green,YES,75,478,49.24476987447699,7.0,0.6359832635983264,0.6565969316596931,-1.5460251046025104,-4.033613445378151,"-2.03,1.51,-4.03,-1.63",4,10,-11.679245283018869,-5.175460251045909,9.887962277595484,4.629612250279785,25.673640167364017
m5_low20-30_close40-60_green,YES,80,478,49.24476987447699,7.0,0.604602510460251,0.6155596234309624,-0.8765690376569037,-3.7394957983193278,"-3.57,2.27,-3.74,1.53",5,10,-11.069767441860465,-5.175460251045909,9.887962277595484,4.629612250279785,25.673640167364017
m5_low20-30_close40-60_green,YES,85,478,49.24476987447699,7.0,0.5836820083682008,0.5793502338173763,0.3682008368200837,-2.858333333333334,"-2.86,4.83,-1.64,1.16",5,10,-10.604651162790697,-5.175460251045909,9.887962277595484,4.629612250279785,25.673640167364017
m5_low20-30_close45-65_green,NO,65,365,54.43287671232877,7.0,0.8191780821917808,0.8374288724973658,-1.1863013698630152,-4.0652173913043494,"-4.07,-3.03,1.38,1.00",5,10,-9.030303030303031,-1.6241369863012638,-10.059521694853583,-1.5068288316764615,25.361643835616437
m5_low20-30_close45-65_green,NO,70,365,54.43287671232877,7.0,0.7808219178082192,0.7776125244618396,0.2246575342465741,-4.0652173913043494,"-4.07,-1.33,2.65,3.69",5,10,-7.666666666666669,-1.6241369863012638,-10.059521694853583,-1.5068288316764615,25.361643835616437
m5_low20-30_close45-65_green,NO,75,365,54.43287671232877,7.0,0.7397260273972602,0.725771689497717,1.0465753424657522,-2.4285714285714306,"-2.16,-2.43,3.47,5.34",5,10,-4.333333333333335,-1.6241369863012638,-10.059521694853583,-1.5068288316764615,25.361643835616437
m5_low20-30_close45-65_green,NO,80,365,54.43287671232877,7.0,0.6821917808219178,0.6804109589041096,0.14246575342465628,-4.186813186813189,"-3.96,-4.19,2.10,6.66",4,10,-5.795454545454548,-1.6241369863012638,-10.059521694853583,-1.5068288316764615,25.361643835616437
m5_low20-30_close45-65_green,NO,85,365,54.43287671232877,7.0,0.6547945205479452,0.6403867848509267,1.2246575342465742,-4.736263736263738,"-1.78,-4.74,3.80,7.65",3,10,-7.200000000000003,-1.6241369863012638,-10.059521694853583,-1.5068288316764615,25.361643835616437
m5_low20-30_close45-65_green,YES,65,490,53.587755102040816,7.0,0.8020408163265306,0.8244270015698587,-1.4551020408163264,-4.762295081967213,"-2.59,2.48,-4.76,-0.95",3,10,-7.636363636363637,-0.06808163265295847,11.367731929694038,3.7924523503557164,25.787755102040816
m5_low20-30_close45-65_green,YES,70,490,53.587755102040816,7.0,0.753061224489796,0.7655393586005831,-0.8734693877551021,-5.581967213114754,"-1.00,2.81,-5.58,0.27",4,10,-9.981132075471699,-0.06808163265295847,11.367731929694038,3.7924523503557164,25.787755102040816
m5_low20-30_close45-65_green,YES,75,490,53.587755102040816,7.0,0.7020408163265306,0.7145034013605442,-0.9346938775510204,-2.788617886178862,"-2.79,1.34,-2.75,0.47",3,10,-9.76086956521739,-0.06808163265295847,11.367731929694038,3.7924523503557164,25.787755102040816
m5_low20-30_close45-65_green,YES,80,490,53.587755102040816,7.0,0.6673469387755102,0.6698469387755102,-0.2,-3.357723577235773,"-3.36,1.09,-1.98,3.44",5,10,-10.304347826086957,-0.06808163265295847,11.367731929694038,3.7924523503557164,25.787755102040816
m5_low20-30_close45-65_green,YES,85,490,53.587755102040816,7.0,0.636734693877551,0.6304441776710684,0.5346938775510204,-2.3414634146341466,"-2.34,2.44,-0.83,2.87",5,10,-9.434782608695652,-0.06808163265295847,11.367731929694038,3.7924523503557164,25.787755102040816
m5_low20-30_close50-70_green,NO,65,391,58.56521739130435,7.0,0.8721227621483376,0.9010033444816054,-1.8772378516624053,-4.775510204081634,"-4.78,-2.41,0.24,-0.54",4,10,-9.84375,4.278874680307168,-9.134205495974498,-3.5317494360420927,25.47314578005115
m5_low20-30_close50-70_green,NO,70,391,58.56521739130435,7.0,0.8209718670076727,0.8366459627329194,-1.0971867007672647,-4.979591836734695,"-4.98,-0.93,-0.23,1.76",4,10,-8.28125,4.278874680307168,-9.134205495974498,-3.5317494360420927,25.47314578005115
m5_low20-30_close50-70_green,NO,75,391,58.56521739130435,7.0,0.7647058823529411,0.7808695652173914,-1.2122762148337605,-4.2653061224489806,"-4.27,-3.68,0.91,2.21",5,10,-10.904761904761907,4.278874680307168,-9.134205495974498,-3.5317494360420927,25.47314578005115
m5_low20-30_close50-70_green,NO,80,391,58.56521739130435,7.0,0.7135549872122762,0.7320652173913044,-1.480818414322251,-6.408163265306124,"-6.41,-3.28,1.63,2.16",5,10,-15.309523809523812,4.278874680307168,-9.134205495974498,-3.5317494360420927,25.47314578005115
m5_low20-30_close50-70_green,NO,85,391,58.56521739130435,7.0,0.6879795396419437,0.689002557544757,-0.08695652173913072,-4.0612244897959195,"-4.06,-3.28,3.69,3.34",5,10,-14.595238095238098,4.278874680307168,-9.134205495974498,-3.5317494360420927,25.47314578005115
m5_low20-30_close50-70_green,YES,65,499,58.450901803607216,7.0,0.8637274549098196,0.8992446431324187,-2.308617234468938,-5.201612903225806,"-1.60,-0.10,-5.20,-2.36",3,10,-8.257142857142858,5.439539078156477,11.6059009176096,3.452960999314228,26.024048096192384
m5_low20-30_close50-70_green,YES,70,499,58.450901803607216,7.0,0.7995991983967936,0.8350128829086745,-2.4789579158316633,-5.604838709677419,"-0.56,-0.10,-5.60,-3.68",3,10,-10.88,5.439539078156477,11.6059009176096,3.452960999314228,26.024048096192384
m5_low20-30_close50-70_green,YES,75,499,58.450901803607216,7.0,0.7454909819639278,0.7793453573814295,-2.5390781563126255,-3.629032258064516,"-1.80,-1.34,-3.63,-3.40",4,10,-11.446808510638299,5.439539078156477,11.6059009176096,3.452960999314228,26.024048096192384
