side,trades,hit_rate,breakeven_hit_rate,avg_entry_c,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,avg_entry_minute,avg_signal_dist_below_ema_c,avg_bars_since_touch,avg_drop5_c,table,dist_bin,bars_bin,entry_c
,24,0.08333333333333333,0.25364583333333335,20.291666666666668,-13.625,-20.0,"-20.00,-7.00,-20.00,-7.50",1,10,-21.25,0.041666666666666664,7.458333333333333,44.243149198205195,6.583333333333333,50.824999999999996,dist_bars,40-60,6-8,
NO,296,0.3547297297297297,0.3,24.0,4.378378378378378,-0.21621621621621623,"-0.22,6.27,6.27,5.19",7,10,-6.222222222222222,0.2635135135135135,4.695945945945946,22.32127873799513,1.3445945945945945,67.41554054054055,side_entry,,,24.0
YES,340,0.34411764705882353,0.3,24.0,3.5294117647058822,-0.47058823529411764,"5.18,7.06,-0.47,2.35",7,10,-5.818181818181818,0.2852941176470588,4.770588235294118,20.862686886381123,1.3352941176470587,66.09558823529412,side_entry,,,24.0
YES,314,0.31210191082802546,0.275,22.0,2.968152866242038,0.27848101265822783,"0.28,4.67,5.34,1.59",5,10,-6.0,0.23248407643312102,4.869426751592357,22.420962409358868,1.2006369426751593,67.28885350318471,side_entry,,,22.0
NO,296,0.3108108108108108,0.275,22.0,2.864864864864865,0.7027027027027027,"1.78,0.70,2.86,6.11",7,10,-7.0,0.23310810810810811,4.780405405405405,22.748361289804283,1.1824324324324325,67.44155405405405,side_entry,,,22.0
YES,302,0.31456953642384106,0.2875,23.0,2.165562913907285,-0.8947368421052632,"-0.89,5.80,0.16,3.67",8,10,-3.689655172413793,0.24834437086092714,4.599337748344371,22.12866772662922,1.4304635761589404,68.15761589403974,side_entry,,,23.0
YES,360,0.33611111111111114,0.3125,25.0,1.8888888888888888,-2.7777777777777777,"2.56,5.22,-2.78,2.56",5,10,-5.0,0.29444444444444445,4.6,21.00805308597138,1.2166666666666666,65.65777777777778,side_entry,,,25.0
NO,311,0.26688102893890675,0.2625,21.0,0.3504823151125402,-4.589743589743589,"-0.49,2.59,-4.59,3.94",5,10,-9.96551724137931,0.22186495176848875,4.942122186495177,23.835808804557615,1.337620578778135,67.2427652733119,side_entry,,,21.0
NO,294,0.2789115646258503,0.2875,23.0,-0.6870748299319728,-4.36986301369863,"5.11,-4.37,0.78,-4.37",4,10,-13.0,0.22108843537414966,4.840136054421769,22.515033711196175,1.272108843537415,65.37653061224489,side_entry,,,23.0
YES,296,0.24662162162162163,0.2625,21.0,-1.2702702702702702,-4.783783783783784,"-4.78,1.70,-0.46,-1.54",3,10,-6.185185185185185,0.19256756756756757,5.030405405405405,22.579471719206147,1.2060810810810811,67.00202702702703,side_entry,,,21.0
